# Simulation 10 (Up to date)
# 917 data points written for 10 variables.
#
# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Mass (g),Propellant mass (g),Mach number (?),Thrust (N),Drag force (N),Drag coefficient (?)
# Event LAUNCH occurred at t=0 seconds
# Event IGNITION occurred at t=0 seconds
40.901,428.35,-150.13,-5.7489,35173,0,0.44572,0,142.48,0.50346
40.951,420.84,-150.42,-5.7326,35173,0,0.44655,0,143.16,0.50355
41.001,413.31,-150.71,-5.7117,35173,0,0.44733,0,143.82,0.50363
41.051,405.77,-150.99,-5.6991,35173,0,0.44813,0,144.49,0.50371
41.101,398.21,-151.28,-5.6864,35173,0,0.44892,0,145.16,0.50379
41.151,390.64,-151.56,-5.6765,35173,0,0.44972,0,145.83,0.50388
41.201,383.05,-151.84,-5.6621,35173,0,0.45051,0,146.51,0.50396
41.251,375.45,-152.13,-5.6375,35173,0,0.45124,0,147.14,0.50404
41.301,367.84,-152.41,-5.6202,35173,0,0.45203,0,147.82,0.50412
41.351,360.21,-152.69,-5.5926,35173,0,0.45277,0,148.46,0.5042
41.401,352.57,-152.97,-5.5699,35173,0,0.45353,0,149.12,0.50428
41.451,344.92,-153.25,-5.5597,35173,0,0.45435,0,149.83,0.50437
41.501,337.25,-153.52,-5.5366,35173,0,0.45511,0,150.49,0.50445
41.551,329.56,-153.8,-5.5166,35173,0,0.45588,0,151.16,0.50453
41.601,321.87,-154.08,-5.493,35173,0,0.45662,0,151.82,0.50461
41.651,314.16,-154.35,-5.4752,35173,0,0.45739,0,152.5,0.50469
41.701,306.43,-154.62,-5.4675,35173,0,0.4582,0,153.21,0.50478
41.751,298.69,-154.9,-5.4471,35173,0,0.45896,0,153.89,0.50486
41.801,290.94,-155.17,-5.422,35173,0,0.45969,0,154.55,0.50494
41.851,283.18,-155.44,-5.4025,35173,0,0.46046,0,155.23,0.50502
41.901,275.4,-155.71,-5.38,35173,0,0.4612,0,155.91,0.5051
41.951,267.61,-155.98,-5.3575,35173,0,0.46194,0,156.58,0.50518
42.001,259.8,-156.24,-5.3434,35173,0,0.46271,0,157.27,0.50526
42.051,251.98,-156.51,-5.3222,35173,0,0.46344,0,157.94,0.50534
42.101,244.15,-156.78,-5.3102,35173,0,0.46422,0,158.65,0.50543
42.151,236.3,-157.04,-5.2854,35173,0,0.46493,0,159.3,0.5055
42.201,228.45,-157.3,-5.2676,35173,0,0.46567,0,159.99,0.50558
42.251,220.57,-157.57,-5.2468,35173,0,0.46639,0,160.66,0.50566
42.301,212.69,-157.83,-5.22,35173,0,0.46707,0,161.31,0.50574
42.351,204.79,-158.09,-5.205,35173,0,0.4678,0,161.99,0.50582
42.401,196.88,-158.35,-5.196,35173,0,0.46856,0,162.69,0.5059
42.451,188.96,-158.61,-5.182,35173,0,0.46929,0,163.38,0.50598
42.501,181.02,-158.87,-5.1584,35173,0,0.46998,0,164.04,0.50606
42.551,173.07,-159.13,-5.1365,35173,0,0.47069,0,164.72,0.50613
42.601,165.11,-159.38,-5.1121,35173,0,0.47139,0,165.39,0.50621
42.651,157.13,-159.64,-5.0854,35173,0,0.47207,0,166.05,0.50629
42.701,149.14,-159.89,-5.0605,35173,0,0.47274,0,166.71,0.50636
42.751,141.14,-160.14,-5.0489,35173,0,0.47346,0,167.39,0.50644
42.801,133.13,-160.4,-5.0415,35173,0,0.47419,0,168.09,0.50652
42.851,125.1,-160.65,-5.0217,35173,0,0.47485,0,168.75,0.50659
42.901,117.06,-160.9,-5.0064,35173,0,0.47554,0,169.43,0.50667
42.951,109.01,-161.15,-4.995,35173,0,0.47626,0,170.13,0.50675
43.001,100.95,-161.4,-4.9666,35173,0,0.47691,0,170.78,0.50682
43.051,92.873,-161.64,-4.9481,35173,0,0.47763,0,171.48,0.5069
43.101,84.785,-161.89,-4.9158,35173,0,0.47827,0,172.13,0.50697
43.151,76.684,-162.14,-4.89,35173,0,0.47894,0,172.8,0.50705
43.201,68.571,-162.38,-4.8621,35173,0,0.47957,0,173.46,0.50712
43.251,60.446,-162.62,-4.8526,35173,0,0.48025,0,174.14,0.5072
43.301,52.309,-162.87,-4.8432,35173,0,0.48092,0,174.81,0.50727
43.351,44.16,-163.11,-4.8265,35173,0,0.48154,0,175.45,0.50734
43.401,35.999,-163.35,-4.8184,35173,0,0.48221,0,176.14,0.50742
43.451,27.825,-163.59,-4.8042,35173,0,0.48286,0,176.81,0.50749
43.501,19.64,-163.83,-4.7761,35173,0,0.48345,0,177.43,0.50756
43.551,11.442,-164.07,-4.7583,35173,0,0.48411,0,178.11,0.50763
43.601,3.2331,-164.3,-4.7404,35173,0,0.48477,0,178.8,0.50771
# Event GROUND_HIT occurred at t=43.651 seconds
# Event SIMULATION_END occurred at t=43.651 seconds
